"idade_local" "biome"
"2028" NA "Temperate"
"2029" NA "Temperate"
"2030" NA "Temperate"
"2031" NA "Temperate"
"2032" NA "Temperate"
"2033" NA "Temperate"
"2034" NA "Temperate"
"2035" NA "Temperate"
"2036" NA "Temperate"
"2037" NA "Temperate"
"2038" NA "Temperate"
"2039" NA "Temperate"
"2040" NA "Temperate"
"2041" NA "Temperate"
"2042" NA "Temperate"
"2043" NA "Temperate"
"2044" NA "Temperate"
"2045" NA "Temperate"
"2046" NA "Temperate"
"2047" NA "Temperate"
"2048" NA "Temperate"
"2049" NA "Temperate"
"2050" NA "Temperate"
"2051" NA "Temperate"
"2052" NA "Temperate"
"2053" NA "Temperate"
"2054" NA "Temperate"
"2055" NA "Temperate"
"2056" NA "Temperate"
"2057" NA "Temperate"
"2058" NA "Temperate"
"2059" NA "Temperate"
"2060" NA "Temperate"
"2061" NA "Temperate"
"2062" NA "Temperate"
"2063" NA "Temperate"
"2064" NA "Temperate"
"2077" NA "Temperate"
"2078" NA "Temperate"
"2079" NA "Temperate"
"2080" NA "Temperate"
"2082" NA "Temperate"
"2083" NA "Temperate"
"2084" NA "Temperate"
"2085" NA "Temperate"
"2086" NA "Temperate"
"2087" NA "Temperate"
"2088" NA "Temperate"
"2089" NA "Temperate"
"2090" NA "Temperate"
"2091" NA "Temperate"
"2092" NA "Temperate"
"2093" NA "Temperate"
"2094" NA "Temperate"
"2095" NA "Temperate"
"2096" NA "Temperate"
"2097" NA "Temperate"
"2098" NA "Temperate"
"2099" NA "Temperate"
"2100" NA "Temperate"
"2101" NA "Temperate"
"2102" NA "Temperate"
"2103" NA "Temperate"
"2104" NA "Temperate"
"2105" NA "Temperate"
"2106" NA "Temperate"
"2107" NA "Temperate"
"2108" NA "Temperate"
"2109" NA "Temperate"
"2110" NA "Temperate"
"2111" NA "Temperate"
"2112" NA "Temperate"
"2113" NA "Temperate"
"2114" NA "Temperate"
"2115" NA "Temperate"
"2116" NA "Temperate"
"2117" NA "Temperate"
"2118" NA "Temperate"
"2119" NA "Temperate"
"2120" NA "Temperate"
"2121" NA "Temperate"
"2122" NA "Temperate"
"2123" NA "Temperate"
"2124" NA "Temperate"
"2125" NA "Temperate"
"2126" NA "Temperate"
"2144" NA "Temperate"
"2145" NA "Temperate"
"2147" NA "Temperate"
"2148" NA "Temperate"
"2149" 1.46759655678 "Temperate"
"2150" NA "Temperate"
"2151" NA "Temperate"
"2152" NA "Temperate"
"2153" NA "Temperate"
"2154" NA "Temperate"
"2155" NA "Temperate"
"2156" NA "Temperate"
"2157" NA "Temperate"
"2158" NA "Temperate"
"2159" NA "Temperate"
"2160" NA "Temperate"
"2161" NA "Temperate"
"2162" NA "Temperate"
"2163" 0.325562189980005 "Temperate"
"2164" NA "Temperate"
"2165" NA "Temperate"
"2166" NA "Temperate"
"2167" NA "Temperate"
"2168" NA "Temperate"
"2169" NA "Temperate"
"2170" NA "Temperate"
"2171" NA "Temperate"
"2172" NA "Temperate"
"2173" NA "Temperate"
"2174" NA "Temperate"
"2175" NA "Temperate"
"2176" NA "Temperate"
"2177" NA "Temperate"
"2178" NA "Temperate"
"2179" NA "Temperate"
"2180" NA "Temperate"
"2181" NA "Temperate"
"2182" NA "Temperate"
"2183" NA "Temperate"
"2184" NA "Temperate"
"2185" NA "Temperate"
"2186" NA "Temperate"
"2187" NA "Temperate"
"2188" NA "Temperate"
"2189" NA "Temperate"
"2190" NA "Temperate"
"2191" NA "Temperate"
"2192" NA "Temperate"
"2193" NA "Temperate"
"2213" 0.325562189980005 "Temperate"
"2214" NA "Temperate"
"2215" NA "Temperate"
"2216" NA "Temperate"
"2217" NA "Temperate"
"2218" NA "Temperate"
"2219" 2.60963092358 "Temperate"
"2220" NA "Temperate"
"2221" NA "Temperate"
"2222" NA "Temperate"
"2223" 2.60963092358 "Temperate"
"2224" 2.60963092358 "Temperate"
"2225" NA "Temperate"
"2226" NA "Temperate"
"2227" NA "Temperate"
"2228" NA "Temperate"
"2229" NA "Temperate"
"2230" NA "Temperate"
"2231" NA "Temperate"
"2232" NA "Temperate"
"2233" NA "Temperate"
"2234" NA "Temperate"
"2235" NA "Temperate"
"2236" NA "Temperate"
"2237" NA "Temperate"
"2238" NA "Temperate"
"2239" NA "Temperate"
"2240" NA "Temperate"
"2241" NA "Temperate"
"2242" NA "Temperate"
"2243" NA "Temperate"
"2244" NA "Temperate"
"2245" NA "Temperate"
"2246" NA "Temperate"
"2247" NA "Temperate"
"2248" NA "Temperate"
"2249" NA "Temperate"
"2250" NA "Temperate"
"2251" NA "Temperate"
"2252" NA "Temperate"
"2253" NA "Temperate"
"2254" NA "Temperate"
"2255" NA "Temperate"
"2256" NA "Temperate"
"2257" NA "Temperate"
"2258" NA "Temperate"
"2259" NA "Temperate"
"2278" 0.325562189980005 "Temperate"
"2279" NA "Temperate"
"2280" NA "Temperate"
"2281" NA "Temperate"
"2282" NA "Temperate"
"2283" 2.60963092358 "Temperate"
"2284" 2.60963092358 "Temperate"
"2285" 2.60963092358 "Temperate"
